ID,dateTimeMeasured,SampleName,pCO2Ref,pCO2Sam,PCellRef,PCellSam,d17O,d18O,d18OError,Dp17O,Dp17OError,mrMismatch,measurementPeriod
15632,2023-07-04 01:42:18,heavyVsRef,415.8,415.2,42.06,42.058,39.67,76.765,0.012,-148.4,6.5,0.6,2023-06-16 to 2023-07-13
15634,2023-07-04 07:41:51,heavyVsRef,416.0,415.5,42.042,42.043,39.655,76.755,0.007,-157.4,9.6,0.5,2023-06-16 to 2023-07-13
15656,2023-07-06 17:54:08,heavyVsRef,415.6,415.1,42.06,42.059,39.669,76.785,0.027,-158.9,3.1,0.5,2023-06-16 to 2023-07-13
15662,2023-07-06 23:54:28,heavyVsRef,414.6,414.2,42.118,42.116,39.698,76.827,0.024,-151.4,7.3,0.4,2023-06-16 to 2023-07-13
15683,2023-07-09 12:53:15,heavyVsRef,414.9,414.5,42.041,42.04,39.684,76.797,0.02,-150.3,8.2,0.4,2023-06-16 to 2023-07-13
15685,2023-07-09 18:53:01,heavyVsRef,415.4,414.9,42.028,42.027,39.684,76.788,0.032,-145.8,15.4,0.5,2023-06-16 to 2023-07-13
15687,2023-07-10 00:53:46,heavyVsRef,414.6,413.9,42.134,42.133,39.663,76.751,0.023,-148.1,12.6,0.7,2023-06-16 to 2023-07-13
15689,2023-07-10 06:54:06,heavyVsRef,414.2,413.6,42.204,42.202,39.6669,76.7849,0.0193,-160.9,9.1,0.6,2023-06-16 to 2023-07-13
15696,2023-07-10 23:29:39,heavyVsRef,413.4,412.8,42.306,42.304,39.674,76.798,0.013,-161.1,4.9,0.6,2023-06-16 to 2023-07-13
15698,2023-07-11 05:30:00,heavyVsRef,414.2,413.5,42.246,42.244,39.654,76.749,0.021,-155.5,5.5,0.7,2023-06-16 to 2023-07-13
15582,2023-06-28 23:51:24,DH11,415.3,415.4,42.079,42.078,12.876,24.76,0.019,-120.1,7.4,-0.1,2023-06-16 to 2023-07-13
15589,2023-06-29 11:31:03,SK-SV42,416.7,416.8,41.921,41.921,22.763,43.869,0.012,-161.3,10.3,-0.1,2023-06-16 to 2023-07-13
15591,2023-06-29 14:22:06,SK-SV42,416.6,416.4,41.917,41.918,22.787,43.926,0.017,-166.4,11.3,0.2,2023-06-16 to 2023-07-13
15515,2023-06-22 08:33:25,SK-09,415.8,415.9,42.005,42.004,21.658,41.71,0.007,-149.5,6.6,-0.1,2023-06-16 to 2023-07-13
15516,2023-06-22 11:28:19,SK-09,416.4,416.3,41.968,41.967,21.712,41.796,0.01,-139.6,6.6,0.1,2023-06-16 to 2023-07-13
15636,2023-07-04 15:39:30,SK-09,415.5,415.6,42.071,42.072,21.805,41.989,0.01,-146.7,11.5,-0.1,2023-06-16 to 2023-07-13
15637,2023-07-04 18:36:45,SK-09,415.4,415.5,42.101,42.101,21.862,42.081,0.02,-137.4,7.1,-0.1,2023-06-16 to 2023-07-13
15584,2023-06-29 05:47:00,SK-08,416.5,416.9,41.901,41.901,21.624,41.641,0.027,-147.7,7.4,-0.4,2023-06-16 to 2023-07-13
15585,2023-06-29 08:36:24,SK-08,416.6,416.8,41.954,41.954,21.61,41.638,0.019,-159.6,7.5,-0.2,2023-06-16 to 2023-07-13
15579,2023-06-28 17:51:52,SK-01,415.7,415.8,42.019,42.017,21.698,41.799,0.018,-154.7,5.7,-0.1,2023-06-16 to 2023-07-13
15581,2023-06-28 20:48:11,SK-01,415.3,415.3,42.01,42.009,21.751,41.895,0.021,-152.2,6.2,0.0,2023-06-16 to 2023-07-13
15642,2023-07-05 09:20:06,SK-01,416.5,417.2,41.887,41.887,21.75,41.88,0.013,-145.7,4.0,-0.7,2023-06-16 to 2023-07-13
15643,2023-07-05 12:06:15,SK-01,416.4,416.7,41.898,41.896,21.735,41.875,0.011,-156.8,5.9,-0.3,2023-06-16 to 2023-07-13
